Id,SampleEventId,InputFileId,SpecConductivity,pHValue,DO,DOUnits,DOC,DOCUnits,NH4,NH4Units,SRP,SRPUnits,NO3,NO3Units,TDN,TDNUnits,TN,TNUnits,TDP,TDPUnits,TP,TPUnits,OtherElementsReported,StatisticalPooling,SampleSize,WaterSampleId,Notes
3327,3576,2,448.4,7.63,NA,NA,180.5,umol_L,6.5,umol_L,1.8,umol_L,-999999999,umol_L,12.99,umol_L,10.7,umol_L,1.88,umol_L,2.2,umol_L,TRUE,NA,NA,"{""parentSampleID"":[""SYCA.SS.20170620""]}","{""sample date and time"":[""2017-06-20T17:05:00""]}"
3328,3577,2,438.2,7.57,NA,NA,185.2,umol_L,-999999999,umol_L,1.2,umol_L,-999999999,umol_L,11.02,umol_L,12.92,umol_L,-999999999,umol_L,0.16,umol_L,TRUE,NA,NA,"{""parentSampleID"":[""SYCA.SS.20170711""]}","{""sample date and time"":[""2017-07-11T14:30:00""]}"
3329,3578,2,496,7.4,NA,NA,183.9,umol_L,-999999999,umol_L,1.5,umol_L,-999999999,umol_L,10.95,umol_L,10.84,umol_L,2.44,umol_L,4.526,umol_L,TRUE,NA,NA,"{""parentSampleID"":[""SYCA.SS.20170725""]}","{""sample date and time"":[""2017-07-25T16:20:00""]}"
3330,3579,2,507,7.435,NA,NA,174,umol_L,-999999999,umol_L,1.3,umol_L,-999999999,umol_L,13.58,umol_L,8.36,umol_L,1.25,umol_L,2.4,umol_L,TRUE,NA,NA,"{""parentSampleID"":[""SYCA.SS.20170801""]}","{""sample date and time"":[""2017-08-01T14:08:00""]}"
3404,3653,2,567,7.385,NA,NA,159.8,umol_L,9.169,umol_L,-999999999,umol_L,-999999999,umol_L,12.66,umol_L,13.83,umol_L,1.5,umol_L,1.7,umol_L,TRUE,NA,NA,"{""parentSampleID"":[""SYCA.RE.20171003""]}",", , , {""altLocation"":["" {""altLatitude"":[33.7485],""altLongitude"":[-111.5083]}""],""externalLabDataByAnalyte"":[""Source value of Ortho-P may be below detection limit but was not flagged in source data.""],""altLocation.1"":["" {""altLatitude"":[33.7485],""altLongitude"":[-111.5083]}""],""altLocation.2"":["" {""altLatitude"":[33.7485],""altLongitude"":[-111.5083]}""],""sample date and time"":[""2017-10-03T17:00:00""]}"
3420,3669,2,475,8.37,NA,NA,482.4,umol_L,-999999999,umol_L,1.1,umol_L,-999999999,umol_L,8.634,umol_L,11,umol_L,0.032,umol_L,0.065,umol_L,TRUE,NA,NA,"{""parentSampleID"":[""REDB.SS.20170110""]}","{""sample date and time"":[""2017-01-10T19:55:00""]}"
3421,3670,2,517,8.445,NA,NA,196.1,umol_L,-999999999,umol_L,-999999999,umol_L,-999999999,umol_L,15.78,umol_L,19.67,umol_L,1.3,umol_L,1.5,umol_L,TRUE,NA,NA,"{""parentSampleID"":[""REDB.SS.20170418""]}","{""externalLabDataByAnalyte"":[""Source value of Ortho-P may be below detection limit but was not flagged in source data.""],""sample date and time"":[""2017-04-18T16:26:00""]}"
3422,3671,2,496,8.525,NA,NA,230,umol_L,-999999999,umol_L,-999999999,umol_L,-999999999,umol_L,14.04,umol_L,78.91,umol_L,0.84,umol_L,0.94,umol_L,TRUE,NA,NA,"{""parentSampleID"":[""REDB.SS.20170425""]}","{""externalLabDataByAnalyte"":[""Source value of Ortho-P may be below detection limit but was not flagged in source data.""],""sample date and time"":[""2017-04-25T15:24:00""]}"
3423,3672,2,503,8.445,NA,NA,258,umol_L,6.1,umol_L,-999999999,umol_L,-999999999,umol_L,14.83,umol_L,12.33,umol_L,0.888,umol_L,1,umol_L,TRUE,NA,NA,"{""parentSampleID"":[""REDB.SS.20170502""]}","{""sample date and time"":[""2017-05-02T17:33:00""]}"
3424,3673,2,558,8.515,NA,NA,155.5,umol_L,-999999999,umol_L,-999999999,umol_L,-999999999,umol_L,14.6,umol_L,20.43,umol_L,0.533,umol_L,0.71,umol_L,TRUE,NA,NA,"{""parentSampleID"":[""REDB.SS.20170516""]}","{""sample date and time"":[""2017-05-16T15:43:00""]}"
